co,name,reg_name,code,pop,lat,lon
co,agua clara,Agua Clara,19,,4.0658332999999995,-73.0166667
co,aguaclara,Aguaclara,20,,1.6058333,-78.9611111
co,aguaclara,Aguaclara,21,,8.2391667,-72.4302778
co,aguaclara,Aguaclara,29,,3.5011111000000006,-76.2355556
co,agua clara,Agua Clara,29,,4.1158333,-76.1944444
co,aguaclara,Aguaclara,32,,4.749444400000001,-72.9938889
co,agua colorada,Agua Colorada,6,,5.7358332999999995,-74.09638890000001
co,agua como,Agua Como,32,,5.2166667,-71.1166667
co,aguada,Aguada,14,,1.6833333,-73.5666667
co,aguada,Aguada,20,,1.1333333,-77.4
co,aguada,Aguada,32,,5.9,-72.0
co,aguada de caferino,Aguada de Caferino,26,,7.184722200000001,-73.1808333
co,aguada de garrapata,Aguada de Garrapata,18,,9.356666699999998,-74.0925
co,aguada de pablo,Aguada de Pablo,4,,10.516666699999998,-75.0166667
co,aguadas,Aguadas,7,19727.0,5.6147222,-75.4597222
co,agua de dios,Agua de Dios,26,,5.7797222,-73.8661111
co,agua de dios,Agua de Dios,33,10876.0,4.383333299999999,-74.66666670000001
co,agua de la virgen,Agua de La Virgen,21,,8.211388900000001,-73.3925
co,agua de pablo,Agua de Pablo,4,,10.516666699999998,-75.0166667
co,agua de perro,Agua de Perro,33,,5.525,-74.2602778
co,aguadita,Aguadita,2,,6.809722200000001,-76.0766667
co,aguadita,Aguadita,7,,5.2833333,-75.5666667
co,aguadita,Aguadita,28,,5.15,-75.1166667
co,aguaditas,Aguaditas,12,,8.766666699999998,-75.5166667
co,agua dulce,Agua Dulce,9,,2.7938889,-77.6125
co,agua dulce,Agua Dulce,10,,10.633333300000002,-73.4333333
co,aguadulce,Aguadulce,12,,8.7097222,-75.68388890000001
co,aguadulce,Aguadulce,18,,10.8219444,-74.65472220000001
co,aguadulce,Aguadulce,25,,13.35,-81.3833333
co,aguadulce,Aguadulce,33,,4.2661111,-74.255
co,aguaestrada,Aguaestrada,18,,9.167777800000001,-73.9911111
co,aguaflorida,Aguaflorida,27,,9.516666699999998,-75.3666667
co,aguafria,Aguafría,4,,10.75,-74.9833333
co,agua fria,Agua Fría,5,,8.666666699999999,-74.41666670000001
co,agua fria,Agua Fría,6,,5.7725,-74.0452778
co,aguafria,Aguafría,6,,6.0311110999999995,-73.4327778
co,aguafria,Aguafría,10,,9.4561111,-73.58722220000001
co,aguafria,Aguafría,18,,9.1,-74.0291667
co,agua fria,Agua Fría,26,,5.83,-73.8427778
co,agua hedionda,Agua Hedionda,16,,2.1266667,-75.6425
co,aguahedionda,Aguahedionda,16,,3.2911111000000006,-75.10611109999999
co,aguajal,Aguajal,32,,5.7166667,-71.5166667
co,agualinda,Agualinda,2,,6.3213889000000005,-74.6094444
co,agualinda,Agualinda,3,,6.366666700000001,-70.2833333
co,agua linda,Agua Linda,3,,6.630277799999999,-70.8969444
co,agualinda,Agualinda,3,,6.9833333,-71.8833333
co,agua linda,Agua Linda,6,,5.7622222,-74.2008333
co,agualinda,Agualinda,6,,6.0333333,-74.45638890000001
co,agua linda,Agua Linda,19,,4.0666667,-73.1
co,agualinda,Agualinda,21,,7.8333333,-72.91666670000001
co,agualinda,Agualinda,26,,7.156111099999999,-73.3427778
co,agua linda,Agua Linda,31,,5.133333299999999,-70.8
co,agualinda,Agualinda,32,,5.1833333,-72.58333329999999
co,agua linda,Agua Linda,32,,6.2333333,-70.9333333
co,agualisa,Agualisa,33,,5.5694444,-73.8166667
co,agualmda,Agualmda,3,,6.366666700000001,-70.2833333
co,aguamansa,Aguamansa,25,,13.333333300000001,-81.3666667
co,agua mona,Agua Mona,29,,3.85,-76.5166667
co,aguamuerta,Aguamuerta,2,,6.3247222,-74.5047222
co,aguanegra,Aguanegra,9,,2.7461111000000002,-76.7941667
co,agua negra,Agua Negra,12,,8.8125,-75.8172222
co,aguanegra,Aguanegra,26,,6.2641667000000005,-74.44972220000001
co,aguanegro,Aguanegro,6,,5.7788889,-74.4691667
co,aguanta-callao,Aguanta-Callao,21,,8.284722200000001,-72.4894444
co,agua padilla,Agua Padilla,12,,8.7166667,-75.4333333
co,aguasal,Aguasal,11,,5.4666667,-76.15
co,aguasblancas,Aguasblancas,10,,10.2166667,-73.4833333
co,aguas blancas,Aguas Blancas,10,,8.416666699999999,-73.6833333
co,aguasblancas,Aguasblancas,18,,9.7161111,-74.5022222
co,aguas blancas,Aguas Blancas,26,,6.831388900000001,-73.8005556
co,aguas blancas,Aguas Blancas,27,,8.7166667,-74.7333333
co,aguasbuenas,Aguasbuenas,18,,10.266666699999998,-74.2
co,aguasclaras,Aguasclaras,3,,6.45,-70.7
co,aguas claras,Aguas Claras,12,,8.4666667,-75.45
co,aguas claras,Aguas Claras,16,,3.1877777999999997,-74.8077778
co,aguas claras,Aguas Claras,19,,2.6752778,-72.7538889
co,aguasclaras,Aguasclaras,21,,8.3275,-73.36027779999999
co,aguas claras,Aguas Claras,26,,6.570833299999999,-73.9247222
co,aguas claras,Aguas Claras,29,,4.616666700000001,-76.1833333
co,aguas claras,Aguas Claras,31,,5.5166667,-70.35
co,aguas claras,Aguas Claras,33,,5.05,-73.9333333
co,aguas frias,Aguas Frías,10,,9.246388900000001,-73.88305559999999
co,aguas lindas,Aguas Lindas,19,,4.0666667,-73.1
co,aguas lindas,Aguas Lindas,29,,4.4255556,-76.32888890000001
co,aguas negras,Aguas Negras,10,,7.8333333,-73.6166667
co,aguas negras,Aguas Negras,12,,8.8125,-75.8172222
co,aguas negras,Aguas Negras,27,,9.7,-75.5
co,aguas prietas,Aguas Prietas,12,,8.6527778,-76.175
co,agua sucia,Agua Sucia,26,,6.6,-72.6833333
co,aguasvivas,Aguasvivas,4,,10.733333300000002,-75.08333329999999
co,aguas vivas,Aguas Vivas,12,,8.5244444,-75.6969444
co,aguasvivas,Aguasvivas,12,,8.8488889,-76.1130556
co,aguas vivas,Aguas Vivas,12,,8.853611099999998,-75.55888890000001
co,aguas vivas,Aguas Vivas,18,,9.7763889,-74.65777779999999
co,aguas vives,Aguas Vives,12,,8.8488889,-76.1130556
co,aguaverde,Aguaverde,31,,5.8,-69.9666667
co,agua verde,Agua Verde,32,,4.4463889000000005,-72.6811111
co,aguaviva,Aguaviva,4,,10.733333300000002,-75.08333329999999
co,aguaviva,Aguaviva,5,,10.083333300000001,-75.0166667
co,aguaviva,Aguaviva,12,,8.8488889,-76.1130556
co,agua vives,Agua Vives,12,,8.8488889,-76.1130556
co,aguayo,Aguayo,28,,3.7113888999999998,-75.5294444
co,aguazul,Aguazul,24,,4.8766667,-75.6488889
co,aguazul,Aguazul,32,15670.0,5.1730556,-72.5547222
co,aguila,Águila,2,,6.5966667,-76.0491667
co,aguila,Águila,12,,8.8,-76.2
co,aguila,Aguila,33,,4.7475,-73.4922222
co,aguilar,Aguilar,2,,6.7641667000000005,-75.9708333
co,aguilar,Aguilar,27,,8.766666699999998,-75.1333333
